Open;Close;High;Low;Volume;Date
74,76;76,05;76,15;74,63;;29/07/2021
75,81;75,41;76,38;75,38;;30/07/2021
75,39;72,89;75,39;72,31;;2/08/2021
73,08;72,41;73,55;71,05;;3/08/2021
72,33;70,38;72,83;70,11;;4/08/2021
70,27;71,29;71,5;69,75;;5/08/2021
71,2;70,7;72,43;70,28;;6/08/2021
70,26;69,04;70,26;67,6;;9/08/2021
69,35;70,63;71,24;68,94;;10/08/2021
70,83;71,44;71,72;69,07;;11/08/2021
71,57;71,31;71,9;70,67;;12/08/2021
71,12;70,59;71,38;70;;13/08/2021
70,05;69,51;70,45;68,14;;16/08/2021
69,77;69,03;70;68,82;;17/08/2021
68,96;68,23;70,04;67,23;;18/08/2021
67,57;66,45;67,64;65,57;;19/08/2021
66,54;65,18;66,93;64,94;;20/08/2021
64,97;68,75;68,9;64,6;;23/08/2021
68,66;71,05;71,27;68,53;;24/08/2021
71;72,25;72,42;70,5;;25/08/2021
71,94;71,07;72,13;70,66;;26/08/2021
71,53;72,7;72,76;71,17;;27/08/2021
73,14;72,99;73,52;72,62;;31/08/2021
71,68;71,59;72,38;70,42;;1/09/2021
71,31;73,03;73,47;70,92;;2/09/2021
72,86;72,61;73,69;72,4;;3/09/2021
72,57;72,22;72,78;71,51;;6/09/2021
72,29;71,69;72,81;71,1;;7/09/2021
71,64;72,6;72,95;71,55;;8/09/2021
72,61;71,45;73,2;70,88;;9/09/2021
71,37;72,92;73,15;70,94;;10/09/2021
72,88;73,51;73,92;72,69;;13/09/2021
73,62;73,6;74,28;73,08;;14/09/2021
73,92;75,46;76,13;73,78;;15/09/2021
75,46;75,67;75,87;74,48;;16/09/2021
75,68;75,34;75,78;74,58;;17/09/2021
75,33;73,92;75,4;73,52;;20/09/2021
74,33;74,36;75,18;73,26;;21/09/2021
74,56;76,19;76,26;74,49;;22/09/2021
75,9;77,25;77,35;75,6;;23/09/2021
77,26;78,09;78,24;76,85;;24/09/2021
78,25;79,53;79,9;78,21;;27/09/2021
79,4;79,09;80,75;78,1;;28/09/2021
78,25;78,64;79,4;77,5;;29/09/2021
78,46;78,52;79,11;77,6;;30/09/2021
78,49;79,28;79,41;77,55;;1/10/2021
79,49;81,26;82;78,75;;4/10/2021
81,27;82,56;83,13;81,19;;5/10/2021
82,57;81,08;83,47;80,6;;6/10/2021
80,98;81,95;82,5;79,08;;7/10/2021
82,38;82,39;83,43;81,96;;8/10/2021
82,65;83,65;84,6;82,54;;11/10/2021
83,49;83,42;84,23;82,72;;12/10/2021
83,1;83,18;83,69;82,2;;13/10/2021
83,45;84;84,5;83,18;;14/10/2021
84,3;84,86;85,1;84,16;;15/10/2021
84,95;84,33;86,04;83,95;;18/10/2021
84,21;85,08;85,4;83,7;;19/10/2021
85,19;85,82;85,89;83,61;;20/10/2021
85,9;84,61;86,1;83,36;;21/10/2021
84,52;85,53;85,93;83,82;;22/10/2021
85,65;85,99;86,7;85,43;;25/10/2021
86,03;86,4;86,5;85,27;;26/10/2021
86,07;84,58;86,28;84,05;;27/10/2021
84,21;84,32;84,59;82,32;;28/10/2021
84,33;83,72;84,83;83,79;;29/10/2021
83,63;84,71;85,12;83,03;;1/11/2021
84,45;84,72;85,23;83,76;;2/11/2021
84,07;81,99;84,2;81,1;;3/11/2021
81,58;80,54;84,49;80,2;;4/11/2021
81,25;82,74;83,16;80,26;;5/11/2021
82,58;83,43;84;82,53;;8/11/2021
83,47;84,78;85,3;83,16;;9/11/2021
84,99;82,64;85,5;82,08;;10/11/2021
82,85;82,87;83,44;81,66;;11/11/2021
82,83;82,17;82,87;81,26;;12/11/2021
81,92;82,05;82,49;80,67;;15/11/2021
82;82,43;83,14;81,52;;16/11/2021
82,05;80,28;82,22;79,78;;17/11/2021
80,1;81,24;81,41;79,28;;18/11/2021
81;78,89;82,24;78,05;;19/11/2021
78,58;79,7;80,07;77,58;;22/11/2021
79,51;82,31;82,6;78,55;;23/11/2021
81,88;82,25;83;81,74;;24/11/2021
82,24;82,22;82,58;81,7;;25/11/2021
81,65;72,72;81,66;72,14;;26/11/2021
73,88;73,44;77,02;72,41;;29/11/2021
74,42;70,57;74,56;70,22;;30/11/2021
69,8;68,87;72,87;68,14;;1/12/2021
69,72;69,67;70,7;65,72;;2/12/2021
70,22;69,88;72,62;69,24;;3/12/2021
70,24;73,08;73,8;70,24;;6/12/2021
73,6;75,44;76,27;73,2;;7/12/2021
75,44;75,82;76,37;74,38;;8/12/2021
75,94;74,42;76,7;73,84;;9/12/2021
73,99;75,15;75,71;73,8;;10/12/2021
75,37;74,39;76,39;74,2;;13/12/2021
74,42;73,7;75,16;72,57;;14/12/2021
73,25;73,88;74,58;72,5;;15/12/2021
74,47;75,02;75,61;74;;16/12/2021
74,5;73,52;74,98;72,65;;17/12/2021
72,82;71,52;72,87;69,28;;20/12/2021
71,88;73,98;74,27;71,24;;21/12/2021
74,05;75,29;75,67;73,62;;22/12/2021
75,47;76,85;77;74,78;;23/12/2021
76,72;76,14;76,79;75,75;;24/12/2021
76,32;78,6;79,08;75,75;;27/12/2021
78,67;78,94;79,85;78,48;;28/12/2021
