Open;Close;High;Low;Volume;Date
1880,69;1880,24;1887,04;1875,79;;24/05/2021
1880,59;1899,14;1900,29;1872,94;;25/05/2021
1898,69;1896,74;1912,34;1890,79;;26/05/2021
1895,99;1896,79;1902,97;1888,79;;27/05/2021
1897,37;1909,49;1909,49;1882,23;;28/05/2021
1909,49;1909,29;1909,49;1909,29;;30/05/2021
1903,54;1905,74;1910,24;1901,89;;31/05/2021
1907,29;1900,49;1916,29;1892,77;;1/06/2021
1899,69;1907,75;1908,69;1894,49;;2/06/2021
1908,37;1871,36;1909,29;1865,39;;3/06/2021
1871,34;1890,97;1895,39;1858,84;;4/06/2021
1890,97;1890,97;1890,97;1890,97;;5/06/2021
1890,97;1890,97;1890,97;1890,97;;6/06/2021
1889,84;1899,59;1899,9;1881,43;;7/06/2021
1899,09;1893,09;1902,99;1883,89;;8/06/2021
1891,84;1888,22;1898,47;1887,07;;9/06/2021
1888,69;1897,8;1899,59;1870,88;;10/06/2021
1897,99;1877,64;1902,44;1874,49;;11/06/2021
1877,64;1877,64;1877,64;1877,64;;12/06/2021
1877,64;1877,64;1877,64;1877,64;;13/06/2021
1876,34;1865,89;1877,79;1844,99;;14/06/2021
1866,29;1858,11;1868,94;1851,69;;15/06/2021
1859,07;1812,66;1861,39;1807,33;;16/06/2021
1812,32;1772,73;1824,99;1767,29;;17/06/2021
1775,69;1764,34;1795,29;1761,54;;18/06/2021
1769,09;1783,24;1786,09;1766,84;;21/06/2021
1784,14;1778,64;1789,94;1772,27;;22/06/2021
1779,79;1778,94;1794,49;1773,59;;23/06/2021
1778,69;1775,34;1787,79;1773,03;;24/06/2021
1776,39;1781,34;1789,99;1773,67;;25/06/2021
1771,69;1771,69;1771,69;1771,69;;27/06/2021
1782,54;1778,39;1785,74;1770,89;;28/06/2021
1778,39;1761,29;1778,69;1751,22;;29/06/2021
1762,09;1770,34;1774,19;1753,19;;30/06/2021
1770,09;1776,69;1782,39;1765,89;;1/07/2021
1776,39;1787,29;1794,94;1774,29;;2/07/2021
1780,59;1785,49;1785,49;1780,59;;4/07/2021
1787,29;1791,77;1793,79;1784,29;;5/07/2021
1791,77;1797,88;1814,89;1790,35;;6/07/2021
1796,49;1803,89;1809,27;1793,89;;7/07/2021
1803,69;1802,89;1817,89;1794,69;;8/07/2021
1803,04;1808,98;1812,07;1796,79;;9/07/2021
1807,89;1806,69;1810,74;1791,49;;12/07/2021
1806,19;1808,27;1816,79;1798,99;;13/07/2021
1807,77;1826,92;1829,69;1804,39;;14/07/2021
1827,49;1829,44;1833,34;1820,49;;15/07/2021
1829,37;1811,89;1831,59;1808,89;;16/07/2021
1811,34;1813,44;1817,09;1795,07;;19/07/2021
1812,47;1810,29;1824,79;1805,59;;20/07/2021
1810,39;1804,05;1813,46;1794,59;;21/07/2021
1803,69;1806,79;1807,84;1793,07;;22/07/2021
1807,14;1802,34;1809,97;1790,98;;23/07/2021
1802,34;1802,34;1802,34;1802,34;;24/07/2021
1802,34;1802,34;1802,34;1802,34;;25/07/2021
1802,44;1797,49;1811,34;1796,09;;26/07/2021
1797,77;1799,14;1804,89;1793,48;;27/07/2021
1800,39;1806,3;1809,39;1793,64;;28/07/2021
1807,39;1828,14;1832,69;1807,19;;29/07/2021
1829,09;1813,79;1831,29;1809,99;;30/07/2021
0;1787,19;1787,19;1787,19;;31/07/2021
0;1787,19;1787,19;1787,19;;1/08/2021
1813,69;1812,74;1819,44;1805,49;;2/08/2021
1813,18;1810,34;1814,79;1807,49;;3/08/2021
1810,19;1812,03;1831,54;1806,74;;4/08/2021
1812,14;1804,52;1814,79;1798,44;;5/08/2021
1804,84;1763,09;1804,84;1758,79;;6/08/2021
1763,09;1763,09;1763,09;1763,09;;7/08/2021
1763,09;1763,09;1763,09;1763,09;;8/08/2021
1762,24;1729,47;1762,24;1710,39;;9/08/2021
1729,04;1729,09;1738,24;1717,57;;10/08/2021
1729,59;1750,9;1754,15;1723,92;;11/08/2021
1751,29;1752,74;1757,87;1741,99;;12/08/2021
1752,89;1779,79;1780,09;1751,67;;13/08/2021
1779,04;1786,49;1789,04;1770,87;;16/08/2021
1786,89;1785,89;1795,29;1780,69;;17/08/2021
1785,99;1786,72;1793,49;1777,39;;18/08/2021
1787,39;1779,5;1791,39;1774,29;;19/08/2021
1779,79;1787,59;1788,09;1778,37;;20/08/2021
1787,59;1792,69;1793,19;1787,59;;22/08/2021
1779,07;1805,79;1805,99;1776,39;;23/08/2021
1805,19;1802,79;1809,14;1800,49;;24/08/2021
1802,49;1790,64;1802,89;1783,4;;25/08/2021
1790,79;1791,22;1797,89;1779,97;;26/08/2021
1792,69;1817,24;1818,94;1788,47;;27/08/2021
1818,49;1810,09;1822,67;1807,69;;30/08/2021
1809,94;1814,45;1818,89;1801,89;;31/08/2021
1814,27;1814,24;1819,67;1808,59;;1/09/2021
1814,04;1809,39;1817,09;1804,85;;2/09/2021
1809,39;1827,19;1833,49;1808,69;;3/09/2021
1827,19;1827,19;1827,19;1827,19;;4/09/2021
