Open;Close;High;Low;Volume;Date
26,50625;27,3075;27,44175;26,18425;;6/05/2021
27,26875;26,915;27,64;26,915;;7/05/2021
26,915;26,915;26,915;26,915;;8/05/2021
26,915;26,915;26,915;26,915;;9/05/2021
27,51625;27,2925;27,8625;27,2325;;10/05/2021
27,32375;27,6175;27,6575;27,10625;;11/05/2021
27,624;27,0175;27,675;26,95375;;12/05/2021
27,04125;27,09375;27,23;26,74225;;13/05/2021
27,105;27,585;27,585;26,83825;;14/05/2021
27,585;27,585;27,585;27,585;;16/05/2021
27,425;28,175;28,2775;27,35575;;17/05/2021
28,21675;28,18;28,73975;28,02325;;18/05/2021
28,18;27,73625;28,2275;27,38;;19/05/2021
27,73875;27,755;27,985;27,40425;;20/05/2021
27,7675;27,065;28,04925;27,065;;21/05/2021
27,065;27,065;27,065;27,065;;23/05/2021
27,53125;27,77175;27,885;27,51;;24/05/2021
27,745;28,00375;28,01825;27,47875;;25/05/2021
27,99;27,67325;28,2225;27,62;;26/05/2021
27,67675;27,845;27,8775;27,49275;;27/05/2021
27,8875;27,9125;27,96;27,40425;;28/05/2021
27,9125;27,9125;27,9125;27,9125;;30/05/2021
27,9425;28,0425;28,132;27,8825;;31/05/2021
28,075;27,88625;28,5075;27,82375;;1/06/2021
27,87625;28,17375;28,18;27,6925;;2/06/2021
28,16175;27,43625;28,22;27,04775;;3/06/2021
27,4575;27,795;27,835;27,24625;;4/06/2021
27,795;27,795;27,795;27,795;;5/06/2021
27,795;27,795;27,795;27,795;;6/06/2021
27,76025;27,88875;27,9375;27,478;;7/06/2021
27,89;27,62125;27,97175;27,52175;;8/06/2021
27,60075;27,7675;27,98075;27,52725;;9/06/2021
27,7775;28,00325;28,015;27,47425;;10/06/2021
28,0025;27,91875;28,27425;27,88825;;11/06/2021
27,91875;27,91875;27,91875;27,91875;;12/06/2021
27,95;27,85375;28,00175;27,47825;;14/06/2021
27,87;27,665;27,8855;27,41325;;15/06/2021
27,66875;26,99575;27,81425;26,80825;;16/06/2021
